epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45347,4.47474,6.532,4.29572,0,0,0,0,3.93521,20.7013,4.15933,5.716e-05,5.716e-05,5.716e-05
2,8.69971,4.49519,6.45885,4.25392,0,0,0,0,3.93897,20.7473,4.16061,0.000127973,0.000127973,0.000127973
3,10.9363,4.36047,5.96369,4.20818,0,0,0,0,3.93516,20.8248,4.16083,0.000198079,0.000198079,0.000198079
4,13.2741,4.16294,5.55952,4.12281,0,0,0,0,3.9318,20.7908,4.16329,0.000267478,0.000267478,0.000267478
5,15.5855,4.05324,5.0367,3.94586,0,0,0,0,3.92331,20.7207,4.16997,0.000336169,0.000336169,0.000336169
6,17.9331,3.64,4.20051,3.7279,0,0,0,0,3.90165,20.2654,4.17801,0.000404153,0.000404153,0.000404153
7,20.3895,3.6393,4.16909,3.54633,0,0,0,0,3.88797,19.7039,4.18684,0.00047143,0.00047143,0.00047143
8,22.6574,3.34126,3.54145,3.29512,0,0,0,0,3.86953,19.5595,4.19815,0.000537999,0.000537999,0.000537999
9,25.0318,3.35636,3.24949,3.08062,0,0,0,0,3.83949,19.3481,4.20978,0.000603861,0.000603861,0.000603861
10,27.1334,3.23703,2.84569,2.74539,0,0,0,0,3.82485,19.0933,4.2173,0.000669016,0.000669016,0.000669016
11,29.0112,3.1402,2.70918,2.55523,0,0,0,0,3.81377,19.2258,4.22083,0.000733463,0.000733463,0.000733463
12,31.2088,3.07213,2.53976,2.4795,0,0,0,0,3.7952,18.661,4.22498,0.000797203,0.000797203,0.000797203
13,33.4002,3.10306,2.31197,2.3245,0,0,0,0,3.79138,18.0476,4.22394,0.000860235,0.000860235,0.000860235
14,35.7111,2.96636,2.19862,2.22234,0,0,0,0,3.80589,17.181,4.21151,0.00092256,0.00092256,0.00092256
15,37.8871,2.9507,2.15144,2.21143,0,0,0,0,3.82616,16.5974,4.19804,0.000984178,0.000984178,0.000984178
16,40.1124,2.84701,2.04189,2.10385,0,0,0,0,3.77714,17.0888,4.21646,0.00104509,0.00104509,0.00104509
17,42.2887,2.9782,2.08977,2.0429,0,0,0,0,3.76783,16.8515,4.21235,0.00110529,0.00110529,0.00110529
18,44.507,2.83639,2.03841,1.93304,0,0,0,0,3.79106,15.9247,4.20096,0.00116479,0.00116479,0.00116479
19,46.5878,2.8149,1.90816,1.84707,0,0,0,0,3.81595,15.316,4.19032,0.00122358,0.00122358,0.00122358
20,48.881,2.77852,1.93605,1.79895,0,0,0,0,3.82648,15.4221,4.18134,0.00128166,0.00128166,0.00128166
21,50.9272,2.6315,1.7807,1.68249,0,0,0,0,3.81015,15.3667,4.18286,0.00128753,0.00128753,0.00128753
22,53.1837,2.57931,1.70176,1.60585,0,0,0,0,3.81102,14.6366,4.16408,0.00128046,0.00128046,0.00128046
23,55.2277,2.43677,1.65322,1.58494,0,0,0,0,3.77788,14.8588,4.17174,0.00127338,0.00127338,0.00127338
24,57.4496,2.4182,1.60352,1.58357,0.0001,0.00053,0.00033,0.00027,3.83848,13.1037,3.79221,0.00126631,0.00126631,0.00126631
25,59.6859,2.46838,1.63047,1.58073,0.0001,0.00053,0.00028,8e-05,3.8312,13.8561,3.9343,0.00125923,0.00125923,0.00125923
26,61.995,2.36985,1.54155,1.46109,0.83605,0.00792,0.00855,0.00175,4.37,4.92307,2.10973,0.00125216,0.00125216,0.00125216
27,64.1396,2.2814,1.45257,1.40828,0.79453,0.00475,0.00913,0.00179,4.44916,4.34261,1.9943,0.00124509,0.00124509,0.00124509
