epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.63176,1.87361,4.06167,1.07948,0.00387,0.06033,0.00119,0.00029,2.22924,4.26502,0.9747,5.716e-05,5.716e-05,5.716e-05
2,9.02021,1.78301,3.77111,1.00855,0.00896,0.14932,0.12037,0.03688,2.21946,4.17277,0.94183,0.000127973,0.000127973,0.000127973
3,11.585,1.72053,2.73151,0.91567,0.00166,0.02715,0.00729,0.00302,2.41035,4.09637,0.93938,0.000198079,0.000198079,0.000198079
4,13.9322,1.73706,1.95818,0.9127,0.00656,0.12971,0.07966,0.02274,2.38764,3.8451,0.9418,0.000267478,0.000267478,0.000267478
5,16.315,1.61061,1.48187,0.91253,0.00714,0.13982,0.09819,0.03186,2.17428,3.67329,0.9395,0.000336169,0.000336169,0.000336169
6,18.6444,1.45384,1.24723,0.92238,0.00791,0.1531,0.08647,0.02717,2.43491,3.58351,0.9712,0.000404153,0.000404153,0.000404153
7,21.017,1.47929,1.20164,0.91997,0.00984,0.17686,0.08575,0.02982,2.508,3.54543,0.99434,0.00047143,0.00047143,0.00047143
8,23.2449,1.45633,1.10986,0.91555,0.01065,0.1915,0.07695,0.02612,2.70697,3.52902,1.00076,0.000537999,0.000537999,0.000537999
9,25.5825,1.50501,1.11058,0.91766,0.00844,0.12748,0.04574,0.01898,2.30001,3.5363,0.94721,0.000603861,0.000603861,0.000603861
10,27.6903,1.42094,1.06416,0.90534,0.01138,0.2677,0.10448,0.04494,2.44541,3.5066,0.98473,0.000669016,0.000669016,0.000669016
11,29.8268,1.46783,1.06817,0.90349,0.01179,0.32418,0.14846,0.0601,2.89103,3.45634,1.10481,0.000733463,0.000733463,0.000733463
12,32.0999,1.36697,1.01418,0.89185,0.0303,0.69317,0.57615,0.36256,2.25716,3.06711,0.94323,0.000797203,0.000797203,0.000797203
13,34.273,1.36984,0.99697,0.88723,0.03326,0.72381,0.63066,0.40224,2.12665,2.96251,0.90503,0.000860235,0.000860235,0.000860235
14,36.5781,1.30788,0.97855,0.88556,0.0412,0.81397,0.7095,0.37881,2.0707,2.73332,0.90469,0.00092256,0.00092256,0.00092256
15,38.7008,1.27649,0.94742,0.87721,0.042,0.81412,0.72269,0.40861,2.11565,2.66287,0.91299,0.000984178,0.000984178,0.000984178
16,41.0023,1.30032,0.95807,0.87118,0.91357,0.51039,0.70335,0.42249,2.18821,2.49639,0.92634,0.00104509,0.00104509,0.00104509
